Compound;DrugClass;InChIKey;InChIKeyShort;SMILES
4-Hydroxymethcathinone;Cathinones;WYLPQOVNOVHCLO-UHFFFAOYSA-N;WYLPQOVNOVHCLO;CC(NC)C(C1=CC=C(O)C=C1)=O
4-hydroxymethyl PCP;Arylcyclohexylamines;QHRXEESDYAONOU-UHFFFAOYSA-N;QHRXEESDYAONOU;N1(CCCCC1)C1(CCCCC1)C1=CC=C(C=C1)CO
4-hydroxynitazene;Opioids;KWJGAOHXZYKBKR-UHFFFAOYSA-N;KWJGAOHXZYKBKR;OC(C=C1)=CC=C1CC2=NC3=CC([N+]([O-])=O)=CC=C3N2CCN(CC)CC
4-MA-NBOMe;Phenethylamines;CBRKBJHWROLUDO-UHFFFAOYSA-N;CBRKBJHWROLUDO;CC(NCC1=CC=CC=C1OC)CC2=CC=C(C)C=C2
4-MAPB;Arylalkylamines;FTXAAPPHMKXGSC-UHFFFAOYSA-N;FTXAAPPHMKXGSC;CNC(CC1=CC=CC2=C1C=CO2)C
4-MEAPP;Cathinones;IKIANZXWCBSIGA-UHFFFAOYSA-N;IKIANZXWCBSIGA;CCCC(NCC)C(C1=CC=C(C)C=C1)=O
4-MEC;Cathinones;ZOXZWYWOECCBSH-UHFFFAOYSA-N;ZOXZWYWOECCBSH;C(C)NC(C(=O)C1=CC=C(C=C1)C)C
4-MeO-alpha-PBP;Cathinones;BXVBGQDJXXGMRX-UHFFFAOYSA-N;BXVBGQDJXXGMRX;CCC(N1CCCC1)C(C2=CC=C(OC)C=C2)=O
4-MeO-alpha-PEP;Cathinones;HYDJQOYJALXHLU-UHFFFAOYSA-N;HYDJQOYJALXHLU;CCCCCC(N1CCCC1)C(C2=CC=C(OC)C=C2)=O
4-MeO-DiPT;Indolalkylamines;WIVWUNUDMXNQJD-UHFFFAOYSA-N;WIVWUNUDMXNQJD;CC(N(CCC1=CNC2=C1C(OC)=CC=C2)C(C)C)C
4-MeO-DMT;Indolalkylamines;HFYHBTWTJDAYGW-UHFFFAOYSA-N;HFYHBTWTJDAYGW;COC1=CC=CC2=C1C(CCN(C)C)=CN2
4-MeO-MiPT;Indolalkylamines;BJIWLHLNPTWSGD-UHFFFAOYSA-N;BJIWLHLNPTWSGD;COC1=C2C(=CNC2=CC=C1)CCN(C(C)C)C
4-MeO-PCMo;Arylcyclohexylamines;QVUBZCUJKHQTLN-UHFFFAOYSA-N;QVUBZCUJKHQTLN;COC1=CC=C(C=C1)C1(CCCCC1)N1CCOCC1
4-MeO-PCP;Arylcyclohexylamines;MUZGGFNYVLGUFS-UHFFFAOYSA-N;MUZGGFNYVLGUFS;COC1=CC=C(C2(N3CCCCC3)CCCCC2)C=C1
4-MeOPP;Cathinones;MRDGZSKYFPGAKP-UHFFFAOYSA-N;MRDGZSKYFPGAKP;COC1=CC=C(N2CCNCC2)C=C1
4-MeO-PV9;Cathinones;TVTBLEFOUUDRBK-UHFFFAOYSA-N;TVTBLEFOUUDRBK;COC1=CC=C(C=C1)C(C(CCCCCC)N1CCCC1)=O
4-MeO-PVP;Cathinones;HWYVHRCKBXGZLV-UHFFFAOYSA-N;HWYVHRCKBXGZLV;CCCC(N1CCCC1)C(C2=CC=C(OC)C=C2)=O
4-Me-PCDM;Arylcyclohexylamines;NLZFSWMDBYVZTF-UHFFFAOYSA-N;NLZFSWMDBYVZTF;C(C)N(C1(CCCCC1)C1=CC=C(C=C1)C)CC
4-Me-PCMo;Arylcyclohexylamines;RSVMONLNGBZECS-UHFFFAOYSA-N;RSVMONLNGBZECS;CC1=CC=C(C=C1)C1(CCCCC1)N1CCOCC1
4'-Me-PCP;Arylcyclohexylamines;REOAQFWFJYSNPN-UHFFFAOYSA-N;REOAQFWFJYSNPN;CC1CCC(CC1)(C1=CC=CC=C1)N1CCCCC1
4''-Methoxyfentanyl;Opioids;LEUVPFMLRYUUGW-UHFFFAOYSA-N;LEUVPFMLRYUUGW;COC1=CC=C(C=C1)CCN1CCC(CC1)N(C(CC)=O)C1=CC=CC=C1
4-methoxy-N,N-Dimethylcathinone;Cathinones;LODCRGDBFNUJIZ-UHFFFAOYSA-N;LODCRGDBFNUJIZ;CN(C(C(=O)C1=CC=C(C=C1)OC)C)C
4'-Methyl Hexedrone;Cathinones;BDTHWVVHQBNAGU-UHFFFAOYSA-N;BDTHWVVHQBNAGU;CNC(C(=O)C1=CC=C(C=C1)C)CCCC
4'-methyl-alpha-PiHP;Cathinones;GMWFVXBLHOYMAG-UHFFFAOYSA-N;GMWFVXBLHOYMAG;CC(CC(C(=O)C1=CC=C(C=C1)C)N1CCCC1)C
4-methylaminoantipyrine;Opioids;JILCEWWZTBBOFS-UHFFFAOYSA-N;JILCEWWZTBBOFS;CN1N(C(C(=C1C)NC)=O)C1=CC=CC=C1
4-Methylaminorex;Unknown;LJQBMYDFWFGESC-UHFFFAOYSA-N;LJQBMYDFWFGESC;NC1=NC(C)C(C2=CC=CC=C2)O1
4-methylamphetamine;Phenethylamines;ZDHZDWSHLNBTEB-UHFFFAOYSA-N;ZDHZDWSHLNBTEB;CC(N)CC1=CC=C(C)C=C1
4-methylbuphedrone;Cathinones;ZOGGCQVVLHCLHY-UHFFFAOYSA-N;ZOGGCQVVLHCLHY;CCC(NC)C(C1=CC=C(C)C=C1)=O
4-methylbuphedrone, N-benzyl derivative;Cathinones;ZWTIKPPAPCJQNP-UHFFFAOYSA-N;ZWTIKPPAPCJQNP;CCC(NCC1=CC=CC=C1)C(C2=CC=C(C)C=C2)=O
4-Methyldiethcathinone;Cathinones;SPARQPFHQXMJOR-UHFFFAOYSA-N;SPARQPFHQXMJOR;CC(N(CC)CC)C(C1=CC=C(C)C=C1)=O
4'-Methylfentanyl;Opioids;AGSRCZOBGTWFFY-UHFFFAOYSA-N;AGSRCZOBGTWFFY;CCC(=O)N(C1CCN(CC1)CCC2=CC=C(C=C2)C)C3=CC=CC=C3
4-Methylfentanyl;Opioids;GNKKPEHVTFKLMN-UHFFFAOYSA-N;GNKKPEHVTFKLMN;CCC(N(C1(C)CCN(CCC2=CC=CC=C2)CC1)C3=CC=CC=C3)=O
4-Methyl-N,N-dimethylcathinone;Cathinones;FXLSIGLYVVJURY-UHFFFAOYSA-N;FXLSIGLYVVJURY;CC(N(C)C)C(C1=CC=C(C)C=C1)=O
4-methyl-N-Ethylhexanophenone;Cathinones;MWMHPKRDZIOULW-UHFFFAOYSA-N;MWMHPKRDZIOULW;C(C)NC(C(=O)C1=CC=C(C=C1)C)CCCC
4-Methyl-N-ethyl-norephedrine;Phenethylamines;AQJDADTYOSUEIK-UHFFFAOYSA-N;AQJDADTYOSUEIK;CC(NCC)C(C1=CC=C(C)C=C1)O
4'-methyl-NiPP;Cathinones;ORANKUVKNRXMTQ-UHFFFAOYSA-N;ORANKUVKNRXMTQ;CC1=CC=C(C=C1)C(C(CCC)NC(C)C)=O
4-methyl-N-Propylcathinone;Cathinones;HALBJKCZJSCGGE-UHFFFAOYSA-N;HALBJKCZJSCGGE;CC1=CC=C(C=C1)C(C(C)NCCC)=O
4-Methyl-PCP;Arylcyclohexylamines;XPZHMMRWEBHHNI-UHFFFAOYSA-N;XPZHMMRWEBHHNI;CC1=CC=C(C=C1)C1(CCCCC1)N1CCCCC1
4-Methylpentedrone;Cathinones;AKVKBEDACKJNPO-UHFFFAOYSA-N;AKVKBEDACKJNPO;CNC(C(=O)C1=CC=C(C=C1)C)CCC
4-methylphendimetrazine;Unknown;UJDFQROPBYDNBJ-UHFFFAOYSA-N;UJDFQROPBYDNBJ;CC1=CC=C(C2C(C)N(C)CCO2)C=C1
4-methylphenethylacetylfentanyl;Opioids;BBMRIHXVAUNKEV-UHFFFAOYSA-N;BBMRIHXVAUNKEV;CC(N(C1CCN(CCC2=CC=C(C)C=C2)CC1)C3=CC=CC=C3)=O
4-Methyl-PV8;Cathinones;ARMHZEVLKNFPAJ-UHFFFAOYSA-N;ARMHZEVLKNFPAJ;CCCCCC(N1CCCC1)C(C2=CC=C(C)C=C2)=O
4-Methylthio-N-benzylcathinone;Cathinones;BLPODMGHNWNNJH-UHFFFAOYSA-N;BLPODMGHNWNNJH;C(C1=CC=CC=C1)NC(C(=O)C1=CC=C(C=C1)SC)C
4-MeTMP;Piperidines & pyrrolidines;WJZNCJIOIACDBR-UHFFFAOYSA-N;WJZNCJIOIACDBR;O=C(OC)[C@H](C1=CC=C(C)C=C1)[C@@H]2NCCCC2
4-MMA;Phenethylamines;GAIWFPOJOHUEBL-UHFFFAOYSA-N;GAIWFPOJOHUEBL;CC(NC)CC1=CC=C(C)C=C1
4-MMA NBOMe;Phenethylamines;OPOYXGQXRAORRI-UHFFFAOYSA-N;OPOYXGQXRAORRI;CC(N(CC1=CC=CC=C1OC)C)CC2=CC=C(C)C=C2
4-MPH;Unknown;NWNCIXFIIDVRKE-UHFFFAOYSA-N;NWNCIXFIIDVRKE;CC1=CC=C(C2C(C)NCCO2)C=C1
4-MTA;Phenethylamines;OLEWMKVPSUCNLG-UHFFFAOYSA-N;OLEWMKVPSUCNLG;CSC1=CC=C(C=C1)CC(C)N
4''-Nitrofentanyl;Opioids;AJLYIWINRIOUCY-UHFFFAOYSA-N;AJLYIWINRIOUCY;[N+](=O)([O-])C1=CC=C(C=C1)CCN1CCC(CC1)N(C(CC)=O)C1=CC=CC=C1
4-OH-DALT;Indolalkylamines;JVIWQWJXRKVJTA-UHFFFAOYSA-N;JVIWQWJXRKVJTA;OC1=CC=CC2=C1C(CCN(CC=C)CC=C)=CN2
4-OH-DPT;Indolalkylamines;MZLRMPTVOVJXLW-UHFFFAOYSA-N;MZLRMPTVOVJXLW;OC1=CC=CC2=C1C(CCN(CCC)CCC)=CN2
4-OH-MDMB-BINACA;Cannabinoids;RYJWSRJLIKZYSA-MRXNPFEDSA-N;RYJWSRJLIKZYSA;O=C(N[C@H](C(OC)=O)C(C)(C)C)C1=NN(CCCCO)C2=C1C=CC=C2
4'-Oxo-PCP;Arylcyclohexylamines;HBVUBDNRZWJTSB-UHFFFAOYSA-N;HBVUBDNRZWJTSB;C1(=CC=CC=C1)C1(CCC(CC1)=O)N1CCCCC1
4-Phenyl Fentanyl;Opioids;BXCJXJLHYMWMQU-UHFFFAOYSA-N;BXCJXJLHYMWMQU;CCC(N(C1=CC=CC=C1)C2(C3=CC=CC=C3)CCN(CCC4=CC=CC=C4)CC2)=O
4-Phenyl-U-51754;Opioids;JMDIMUCMZWADSC-FGZHOGPDSA-N;JMDIMUCMZWADSC;O=C(N([C@H]1[C@H](N(C)C)CCCC1)C)CC2=CC=C(C3=CC=CC=C3)C=C2
4-PhO-PCP;Arylcyclohexylamines;NFDPAPMYWGXPAU-UHFFFAOYSA-N;NFDPAPMYWGXPAU;O(C1=CC=CC=C1)C1=CC=C(C=C1)C1(CCCCC1)N1CCCCC1
4-PrO-DMT;Indolalkylamines;KUOGXPDQORRHED-UHFFFAOYSA-N;KUOGXPDQORRHED;CCC(OC1=CC=CC2=C1C(CCN(C)C)=CN2)=O
4''-PrO-TCP;Arylcyclohexylamines;SSMIEUOUVPXCRP-UHFFFAOYSA-N;SSMIEUOUVPXCRP;C(CC)(=O)OC1CCN(CC1)C1(CCCCC1)C=1SC=CC1
4PYCP;Arylcyclohexylamines;PDKNFSCLWVYQRP-UHFFFAOYSA-N;PDKNFSCLWVYQRP;N1(CCCCC1)C1(CCCCC1)C1=CC=NC=C1
4'-tert-Butyl-PCP;Arylcyclohexylamines;LHYFVODMMVABLM-UHFFFAOYSA-N;LHYFVODMMVABLM;C(C)(C)(C)C1CCC(CC1)(C1=CC=CC=C1)N1CCCCC1
5,6-MeO-MiPT;Indolalkylamines;XXWWFLAMFUOAQG-UHFFFAOYSA-N;XXWWFLAMFUOAQG;COC1=C(C=C2NC=C(CCN(C(C)C)C)C2=C1)OC
5ADB-PINACA (N-Pentanoic acid);Cannabinoids;IVHZMDPVHMCCKJ-UHFFFAOYSA-N;IVHZMDPVHMCCKJ;O=C(O)CCCCN1N=C(C(NC(C(C)(C)C)C(N)=O)=O)C2=C1C=CC=C2
5-AEDB;Arylalkylamines;GDRWGOBKFDGTJB-UHFFFAOYSA-N;GDRWGOBKFDGTJB;NCCC1=CC2=C(OCC2)C=C1
5-Aminoisotonitazene;Opioids;DVCBBZBNZSSXMS-UHFFFAOYSA-N;DVCBBZBNZSSXMS;NC1=CC=C2C(N=C(CC3=CC=C(OC(C)C)C=C3)N2CCN(CC)CC)=C1
5-APB;Arylalkylamines;VKUMKUZDZWHMQU-UHFFFAOYSA-N;VKUMKUZDZWHMQU;CC(N)CC1=CC=C(OC=C2)C2=C1
5-APB NBOMe;Arylalkylamines;NSWWDACHSBMHLV-UHFFFAOYSA-N;NSWWDACHSBMHLV;CC(NCC1=CC=CC=C1OC)CC2=CC3=C(OC=C3)C=C2
5-APDB;Arylalkylamines;PZTJXZKNTPCPJL-UHFFFAOYSA-N;PZTJXZKNTPCPJL;CC(N)CC1=CC=C(OCC2)C2=C1
5-APDI;Phenethylamines;QYVNZHBQYJRLEX-UHFFFAOYSA-N;QYVNZHBQYJRLEX;CC(N)CC1=CC2=C(CCC2)C=C1
5-BPDi;Cathinones;WETQQOQCDBNIKE-UHFFFAOYSA-N;WETQQOQCDBNIKE;CCCCC(N1CCCC1)C(C2=CC3=C(CCC3)C=C2)=O
5Br-AKB48;Cannabinoids;JKYXWDCDKGVNGP-UHFFFAOYSA-N;JKYXWDCDKGVNGP;O=C(C1=NN(CCCCCBr)C2=C1C=CC=C2)NC34CC5CC(C4)CC(C5)C3
5-Br-DMT;Indolalkylamines;ATEYZYQLBQUZJE-UHFFFAOYSA-N;ATEYZYQLBQUZJE;BrC=1C=C2C(=CNC2=CC1)CCN(C)C
5Br-THJ-018;Cannabinoids;CHDPCRSBPAVUIZ-UHFFFAOYSA-N;CHDPCRSBPAVUIZ;O=C(C1=NN(CCCCCBr)C2=C1C=CC=C2)C3=C4C=CC=CC4=CC=C3
5C-APINACA;Cannabinoids;LGENBCKWDLSPTD-UHFFFAOYSA-N;LGENBCKWDLSPTD;O=C(C1=NN(CCCCCCl)C2=C1C=CC=C2)NC34CC5CC(C4)CC(C5)C3
5-chloro MDMB-PICA;Cannabinoids;RDYYVCJZBGFEEK-GOSISDBHSA-N;RDYYVCJZBGFEEK;ClCCCCCN1C=C(C2=CC=CC=C12)C(=O)N[C@H](C(=O)OC)C(C)(C)C
5Cl-AB-PINACA;Cannabinoids;VUPMALPMUYUYES-UHFFFAOYSA-N;VUPMALPMUYUYES;O=C(C1=NN(CCCCCCl)C2=C1C=CC=C2)NC(C(N)=O)C(C)C
5Cl-alpha MT;Indolalkylamines;QMKOQSCXSYPIPB-UHFFFAOYSA-N;QMKOQSCXSYPIPB;ClC=1C=C2C(=CNC2=CC1)CC(C)N
5Cl-bk-MPA;Unknown;VTSPXQPERGVFBV-UHFFFAOYSA-N;VTSPXQPERGVFBV;CC(NC)C(C1=CC=C(Cl)S1)=O
5-Cl-DMT;Indolalkylamines;LXATUVRMTAHHDX-UHFFFAOYSA-N;LXATUVRMTAHHDX;ClC1=CC=C2NC=C(CCN(C)C)C2=C1
5Cl-MDMB-PINACA;Cannabinoids;LXGWYEHAXDYRBP-UHFFFAOYSA-N;LXGWYEHAXDYRBP;CC(C)(C)C(NC(C1=NN(CCCCCCl)C2=C1C=CC=C2)=O)C(OC)=O
5Cl-NNEI;Cannabinoids;SAZREAASVMJYTK-UHFFFAOYSA-N;SAZREAASVMJYTK;O=C(C1=CN(CCCCCCl)C2=C1C=CC=C2)NC3=C4C=CC=CC4=CC=C3
5Cl-THJ-018;Cannabinoids;KLRDJQQYGMTILS-UHFFFAOYSA-N;KLRDJQQYGMTILS;O=C(C1=NN(CCCCCCl)C2=C1C=CC=C2)C3=C4C=CC=CC4=CC=C3
5-DBFPV;Cathinones;CIGWUZUBQBQZAO-UHFFFAOYSA-N;CIGWUZUBQBQZAO;CCCC(N1CCCC1)C(C2=CC=C(OCC3)C3=C2)=O
5-EAPB;Arylalkylamines;ZBZDDOARNPAMSP-UHFFFAOYSA-N;ZBZDDOARNPAMSP;O1C=CC2=C1C=CC(=C2)CC(C)NCC
5F-7-QUPAIC;Cannabinoids;CUGIQDZEJKPBDW-UHFFFAOYSA-N;CUGIQDZEJKPBDW;O=C(C1=CN(CCCCCF)C2=NC=CC=C21)OC3=C4N=CC=CC4=CC=C3
5F-AB-001;Cannabinoids;WBLLMFXPGHZFFP-UHFFFAOYSA-N;WBLLMFXPGHZFFP;C12(CC3CC(CC(C1)C3)C2)C(=O)C2=CN(C3=CC=CC=C23)CCCCCF
5F-AB-FUPPYCA;Cannabinoids;GSXRDTDYPSATDE-UHFFFAOYSA-N;GSXRDTDYPSATDE;O=C(C1=NN(CCCCCF)C(C2=CC=C(F)C=C2)=C1)NC(C(C)C)C(N)=O
5F-ABICA;Cannabinoids;GQYZBLMAONPUNX-KRWDZBQOSA-N;GQYZBLMAONPUNX;O=C(C1=CN(CCCCCF)C2=C1C=CC=C2)N[C@H](C(N)=O)C(C)C
5F-AB-PINACA (4-OH-Pentyl);Cannabinoids;IEYDKWLGOBQFKU-UHFFFAOYSA-N;IEYDKWLGOBQFKU;O=C(C1=NN(CCCC(O)CF)C2=C1C=CC=C2)NC(C(C)C)C(N)=O
5F-ADB;Cannabinoids;PWEKNGSNNAKWBL-KRWDZBQOSA-N;PWEKNGSNNAKWBL;CC(C)(C)[C@H](C(OC)=O)NC(C1=NN(CCCCCF)C2=C1C=CC=C2)=O
5F-ADB metabolite 2;Cannabinoids;NSZKXPRDEZMVDK-QGZVFWFLSA-N;NSZKXPRDEZMVDK;OCCCCCN1N=C(C2=CC=CC=C12)C(=O)N[C@H](C(=O)OC)C(C)(C)C
5F-ADBICA;Cannabinoids;ITZSOCZDFSHNCL-UHFFFAOYSA-N;ITZSOCZDFSHNCL;O=C(C1=CN(CCCCCF)C2=C1C=CC=C2)NC(C(N)=O)C(C)(C)C
5F-ADB-PINACA;Cannabinoids;SOYDDJYBRCNNIT-MRXNPFEDSA-N;SOYDDJYBRCNNIT;[H][C@@](NC(=O)C1=NN(CCCCCF)C2=CC=CC=C12)(C(O)=N)C(C)(C)C
5F-AEB;Cannabinoids;YWSYUMWEKPNAHT-KRWDZBQOSA-N;YWSYUMWEKPNAHT;O=C(N[C@H](C(OCC)=O)C(C)C)C1=NN(CCCCCF)C2=CC=CC=C21
5F-AKB48;Cannabinoids;UCMFSGVIEPXYIV-UHFFFAOYSA-N;UCMFSGVIEPXYIV;O=C(C1=NN(CCCCCF)C2=C1C=CC=C2)NC34CC5CC(C4)CC(C5)C3
5F-AMB;Cannabinoids;SAFXSUZMRLTBMM-UHFFFAOYSA-N;SAFXSUZMRLTBMM;CC(C)C(NC(C1=NN(CCCCCF)C2=C1C=CC=C2)=O)C(OC)=O
5F-AMB (5-OH-Pentyl);Cannabinoids;HYDHCGXHDBEZCS-INIZCTEOSA-N;HYDHCGXHDBEZCS;CC(C)[C@H](NC(C1=NN(CCCCCO)C2=C1C=CC=C2)=O)C(OC)=O
5F-AMB (N-Pentanoic acid);Cannabinoids;PHUYBCJFBMJODK-INIZCTEOSA-N;PHUYBCJFBMJODK;C(=O)(O)CCCCN1N=C(C2=CC=CC=C12)C(=O)N[C@@H](C(C)C)C(=O)OC
5F-A-P7AICA;Cannabinoids;JYMCNFJJLBFSGH-UHFFFAOYSA-N;JYMCNFJJLBFSGH;C12(CC3CC(CC(C1)C3)C2)NC(=O)C2=CN(C3=NC=CC=C32)CCCCCF
5F-APINAC;Cannabinoids;FOBFXVSQNAVUMG-UHFFFAOYSA-N;FOBFXVSQNAVUMG;O=C(C1=NN(CCCCCF)C2=C1C=CC=C2)OC34CC5CC(C4)CC(C5)C3
5F-BEPIRAPIM;Cannabinoids;WHHDMGMJHFYVEK-UHFFFAOYSA-N;WHHDMGMJHFYVEK;FCCCCCN1C=C(C(=O)N2CCN(CC3=CC=CC=C3)CC2)C2=CC=CC=C12
5F-BZO-POXIZID;Cannabinoids;CJINBVDNZDUMJM-UHFFFAOYSA-N;CJINBVDNZDUMJM;FCCCCCN1C(C(C2=CC=CC=C12)=NNC(C1=CC=CC=C1)=O)=O
5F-CUMYL-P7AICA;Cannabinoids;MXJYOUMYJGNQEY-UHFFFAOYSA-N;MXJYOUMYJGNQEY;O=C(C1=CN(CCCCCF)C2=NC=CC=C12)NC(C)(C3=CC=CC=C3)C
5F-Cumyl-PeGACLONE;Cannabinoids;SMRRORRDOWXERZ-UHFFFAOYSA-N;SMRRORRDOWXERZ;FCCCCCN1C2=C(C=3C=CC=CC13)C(N(C=C2)C(C)(C)C2=CC=CC=C2)=O
5F-CUMYL-PINACA;Cannabinoids;XSHGVIPHMOTDCS-UHFFFAOYSA-N;XSHGVIPHMOTDCS;O=C(C1=NN(CCCCCF)C2=C1C=CC=C2)NC(C)(C3=CC=CC=C3)C
5F-EDMB-PICA;Cannabinoids;RNWBJOCYFGGMRJ-UHFFFAOYSA-N;RNWBJOCYFGGMRJ;FCCCCCN1C=C(C2=CC=CC=C12)C(=O)NC(C(=O)OCC)C(C)(C)C
5F-EDMB-PINACA;Cannabinoids;VDEACSPMBSUVRD-UHFFFAOYSA-N;VDEACSPMBSUVRD;CC(C)(C)C(NC(C1=NN(CCCCCF)C2=C1C=CC=C2)=O)C(OCC)=O
5F-EMB-PICA;Cannabinoids;WPRKGJGOLPGBMG-UHFFFAOYSA-N;WPRKGJGOLPGBMG;FCCCCCN1C=C(C2=CC=CC=C12)C(=O)NC(C(=O)OCC)C(C)C
5F-JWH-412;Cannabinoids;DYMIQRSPYZCJDG-UHFFFAOYSA-N;DYMIQRSPYZCJDG;O=C(C1=C2C=CC=CC2=C(F)C=C1)C3=CN(CCCCCF)C4=C3C=CC=C4
5-fluoro AB-7-PAICA;Cannabinoids;PEAJNPAIVYHNDQ-UHFFFAOYSA-N;PEAJNPAIVYHNDQ;O=C(C1=CN(CCCCCF)C2=NC=CC=C21)NC(C(C)C)C(N)=O
5-fluoro AB-PINACA;Cannabinoids;WCBYXIBEPFZUBG-HNNXBMFYSA-N;WCBYXIBEPFZUBG;O=C(C1=NN(CCCCCF)C2=C1C=CC=C2)N[C@@H](C(C)C)C(N)=O
5-fluoro ADB 2'-indazole isomer;Cannabinoids;HCNWBGYBBSHBPL-QGZVFWFLSA-N;HCNWBGYBBSHBPL;FCCCCCN1N=C2C=CC=CC2=C1C(=O)N[C@H](C(=O)OC)C(C)(C)C
5-fluoro ADB 2'-indazole isomer butanoic acid;Cannabinoids;HFSKUXWOGQAZJT-MRXNPFEDSA-N;HFSKUXWOGQAZJT;FCCCCCN1N=C2C=CC=CC2=C1C(=O)N[C@H](C(=O)O)C(C)(C)C
5-Fluoro ADB-PINACA isomer 2;Cannabinoids;BGRYUHNKCCAZCH-BBRMVZONSA-N;BGRYUHNKCCAZCH;O=C(C1=NN(CCCCCF)C2=C1C=CC=C2)N[C@@H]([C@@H](C)CC)C(N)=O
5-Fluoro AMB metabolite 5;Cannabinoids;CGHVCMLJMBGQAY-HNNXBMFYSA-N;CGHVCMLJMBGQAY;CC(C)[C@@H](C(O)=O)NC(C1=NN(CCCCCO)C2=C1C=CC=C2)=O
5-Fluoro AMB metabolite 7;Cannabinoids;FGTPKIQXNMGJLF-HNNXBMFYSA-N;FGTPKIQXNMGJLF;CC(C)[C@@H](C(O)=O)NC(C1=NN(CCCCCF)C2=C1C=CC=C2)=O
5-fluoro AMT;Indolalkylamines;CTGFDWBZMCPVED-UHFFFAOYSA-N;CTGFDWBZMCPVED;FC=1C=C2C(=CNC2=CC1)CC(N)C
5-fluoro CUMYL-P7AICA N-pentanoic acid metabolite;Cannabinoids;ZXXDLKCWUKXXCT-UHFFFAOYSA-N;ZXXDLKCWUKXXCT;C1(=CC=CC=C1)C(C)(C)NC(=O)C1=CN(C2=NC=CC=C21)CCCCC(=O)O
5-fluoro CUMYL-PeGACLONE N-(5-hydroxypentyl) metabolite;Cannabinoids;DRXYNLYKXUWULP-UHFFFAOYSA-N;DRXYNLYKXUWULP;OCCCCCN1C2=C(C=3C=CC=CC13)C(N(C=C2)C(C)(C2=CC=CC=C2)C)=O
5-fluoro CUMYL-PeGACLONE N-pentanoic acid metabolite;Cannabinoids;GOXRRWPNAJIUTP-UHFFFAOYSA-N;GOXRRWPNAJIUTP;O=C1N(C=CC=2N(C=3C=CC=CC3C21)CCCCC(=O)O)C(C)(C)C2=CC=CC=C2
5-fluoro CUMYL-PICA;Cannabinoids;ZJCYQNSYQBCKOD-UHFFFAOYSA-N;ZJCYQNSYQBCKOD;CC(C)(C1=CC=CC=C1)NC(=O)C2=CN(C3=CC=CC=C32)CCCCCF
5-fluoro CYPPICA;Cannabinoids;ZBWTXQPFLUBXFN-UHFFFAOYSA-N;ZBWTXQPFLUBXFN;O=C(C1=CN(CCCCCF)C2=C1C=CC=C2)NCC3CC3
5-fluoro EMB-PICA N-(5-hydroxypentyl) metabolite;Cannabinoids;BYKDBGZAUUNZAP-IBGZPJMESA-N;BYKDBGZAUUNZAP;OCCCCCN1C=C(C2=CC=CC=C12)C(=O)N[C@@H](C(C)C)C(=O)OCC
5-Fluoro MDMB-PICA metabolite 7;Cannabinoids;VZDMQSRBNZTURL-QGZVFWFLSA-N;VZDMQSRBNZTURL;FCCCCCN1C=C(C2=CC=CC=C12)C(=O)N[C@H](C(=O)O)C(C)(C)C
5-fluoro MDMB-PICA metabolite 8;Cannabinoids;VDBNPGGUQVGIFX-MRXNPFEDSA-N;VDBNPGGUQVGIFX;O=C(O)CCN1C=C(C(N[C@@H](C(C)(C)C)C(OC)=O)=O)C2=C1C=CC=C2
5-fluoro MDMB-PICA metabolite 9;Cannabinoids;CUJKLIFBKSGIOH-GOSISDBHSA-N;CUJKLIFBKSGIOH;FCCCCCN1C=C(C2=CC=C(C=C12)O)C(=O)N[C@H](C(=O)OC)C(C)(C)C
5-fluoro MMB-P7AICA;Cannabinoids;AYEFOUPKQGDQBK-HNNXBMFYSA-N;AYEFOUPKQGDQBK;FCCCCN1C=C(C=2C1=NC=CC2)C(=O)N[C@@H](C(C)C)C(=O)OC
5-Fluoro-2-ADB-PINACA isomer 2;Cannabinoids;CIXZTODJNNGQFI-BBRMVZONSA-N;CIXZTODJNNGQFI;O=C(C1=C2C=CC=CC2=NN1CCCCCF)N[C@@H]([C@@H](C)CC)C(N)=O
5-Fluoro-3,5-AB-PFUPPYCA;Cannabinoids;JPKXVUNTSWGYKJ-UHFFFAOYSA-N;JPKXVUNTSWGYKJ;O=C(C1=CC(C2=CC=C(F)C=C2)=NN1CCCCCF)N[C@@H](C(C)C)C(N)=O
5-fluoro-AKB48 N-(4-hydroxypentyl) metabolite;Cannabinoids;BOGHQNVNYXAOJR-UHFFFAOYSA-N;BOGHQNVNYXAOJR;O=C(C1=NN(CCCC(O)CF)C2=C1C=CC=C2)NC3(C4)CC5CC4CC(C5)C3
5-Fluoropentyl-3-pyridinoylindole;Cannabinoids;CNMQLCYLJPWHEW-UHFFFAOYSA-N;CNMQLCYLJPWHEW;O=C(C1=CN(CCCCCF)C2=C1C=CC=C2)C3=CC=CN=C3
5F-MDMB-P4AICA;Cannabinoids;YUNKAZHULJISDA-UHFFFAOYSA-N;YUNKAZHULJISDA;CC(C)(C)C(NC(C1=CN(CCCCCF)C2=CC=CN=C21)=O)C(OC)=O
5F-MDMB-P7AICA;Cannabinoids;LIRBKFHBIDESHO-UHFFFAOYSA-N;LIRBKFHBIDESHO;CC(C)(C)C(NC(C1=CN(CCCCCF)C2=NC=CC=C21)=O)C(OC)=O
