Compound,DrugClass,InChIKey,InChIKeyShort,SMILES,Predicted_IE,Low_IE_boundary,High_IE_boundary
5F-EDMB-PICA,Cannabinoids,RNWBJOCYFGGMRJ-UHFFFAOYSA-N,RNWBJOCYFGGMRJ,FCCCCCN1C=C(C2=CC=CC=C12)C(=O)NC(C(=O)OCC)C(C)(C)C,3.3058983192316895,2.691488047755103,3.492728441472341
5F-EDMB-PINACA,Cannabinoids,VDEACSPMBSUVRD-UHFFFAOYSA-N,VDEACSPMBSUVRD,CC(C)(C)C(NC(C1=NN(CCCCCF)C2=C1C=CC=C2)=O)C(OCC)=O,3.1862150292316818,2.597618025530086,3.369611780241024
5F-EMB-PICA,Cannabinoids,WPRKGJGOLPGBMG-UHFFFAOYSA-N,WPRKGJGOLPGBMG,FCCCCCN1C=C(C2=CC=CC=C12)C(=O)NC(C(=O)OCC)C(C)C,3.45840257031564,2.884440272395097,3.662814328778642
5F-JWH-412,Cannabinoids,DYMIQRSPYZCJDG-UHFFFAOYSA-N,DYMIQRSPYZCJDG,O=C(C1=C2C=CC=CC2=C(F)C=C1)C3=CN(CCCCCF)C4=C3C=CC=C4,4.0234413376266565,3.3444815765320053,4.0234413376266565
5-fluoro AB-7-PAICA,Cannabinoids,PEAJNPAIVYHNDQ-UHFFFAOYSA-N,PEAJNPAIVYHNDQ,O=C(C1=CN(CCCCCF)C2=NC=CC=C21)NC(C(C)C)C(N)=O,3.762572451640029,2.919312285755281,3.762572451640029
5-fluoro AB-PINACA,Cannabinoids,WCBYXIBEPFZUBG-HNNXBMFYSA-N,WCBYXIBEPFZUBG,O=C(C1=NN(CCCCCF)C2=C1C=CC=C2)N[C@@H](C(C)C)C(N)=O,3.205495081852694,2.46431528492615,3.21553743656357
5-fluoro ADB 2'-indazole isomer,Cannabinoids,HCNWBGYBBSHBPL-QGZVFWFLSA-N,HCNWBGYBBSHBPL,FCCCCCN1N=C2C=CC=CC2=C1C(=O)N[C@H](C(=O)OC)C(C)(C)C,3.145722686978208,2.532772989150152,3.557198876629787
5-fluoro ADB 2'-indazole isomer butanoic acid,Cannabinoids,HFSKUXWOGQAZJT-MRXNPFEDSA-N,HFSKUXWOGQAZJT,FCCCCCN1N=C2C=CC=CC2=C1C(=O)N[C@H](C(=O)O)C(C)(C)C,2.934554619109401,2.3220014718073214,3.2643060360965284
5-Fluoro ADB-PINACA isomer 2,Cannabinoids,BGRYUHNKCCAZCH-BBRMVZONSA-N,BGRYUHNKCCAZCH,O=C(C1=NN(CCCCCF)C2=C1C=CC=C2)N[C@@H]([C@@H](C)CC)C(N)=O,3.445081492802867,2.624151755350383,3.445081492802867
5-Fluoro AMB metabolite 5,Cannabinoids,CGHVCMLJMBGQAY-HNNXBMFYSA-N,CGHVCMLJMBGQAY,CC(C)[C@@H](C(O)=O)NC(C1=NN(CCCCCO)C2=C1C=CC=C2)=O,2.953456207649301,2.332160774344228,3.221696067951669
5-Fluoro AMB metabolite 7,Cannabinoids,FGTPKIQXNMGJLF-HNNXBMFYSA-N,FGTPKIQXNMGJLF,CC(C)[C@@H](C(O)=O)NC(C1=NN(CCCCCF)C2=C1C=CC=C2)=O,2.9993682399441304,2.4640385000626375,3.1934797511714947
5-fluoro AMT,Indolalkylamines,CTGFDWBZMCPVED-UHFFFAOYSA-N,CTGFDWBZMCPVED,FC=1C=C2C(=CNC2=CC1)CC(N)C,3.1922596662720615,2.957580100488832,3.5647890021592916
5-fluoro CUMYL-P7AICA N-pentanoic acid metabolite,Cannabinoids,ZXXDLKCWUKXXCT-UHFFFAOYSA-N,ZXXDLKCWUKXXCT,C1(=CC=CC=C1)C(C)(C)NC(=O)C1=CN(C2=NC=CC=C21)CCCCC(=O)O,3.8925991341425936,3.3684285705451087,3.959853702912837
5-fluoro CUMYL-PeGACLONE N-(5-hydroxypentyl) metabolite,Cannabinoids,DRXYNLYKXUWULP-UHFFFAOYSA-N,DRXYNLYKXUWULP,OCCCCCN1C2=C(C=3C=CC=CC13)C(N(C=C2)C(C)(C2=CC=CC=C2)C)=O,4.134850325004722,3.521422732697614,4.134850325004722
5-fluoro CUMYL-PeGACLONE N-pentanoic acid metabolite,Cannabinoids,GOXRRWPNAJIUTP-UHFFFAOYSA-N,GOXRRWPNAJIUTP,O=C1N(C=CC=2N(C=3C=CC=CC3C21)CCCCC(=O)O)C(C)(C)C2=CC=CC=C2,3.8639112552489694,3.3383943344790037,3.8639112552489694
5-fluoro CUMYL-PICA,Cannabinoids,ZJCYQNSYQBCKOD-UHFFFAOYSA-N,ZJCYQNSYQBCKOD,CC(C)(C1=CC=CC=C1)NC(=O)C2=CN(C3=CC=CC=C32)CCCCCF,4.140202547684949,3.524993865031511,4.140202547684949
5-fluoro CYPPICA,Cannabinoids,ZBWTXQPFLUBXFN-UHFFFAOYSA-N,ZBWTXQPFLUBXFN,O=C(C1=CN(CCCCCF)C2=C1C=CC=C2)NCC3CC3,3.7455197901572435,3.1502762072844166,3.7455197901572435
5-fluoro EMB-PICA N-(5-hydroxypentyl) metabolite,Cannabinoids,BYKDBGZAUUNZAP-IBGZPJMESA-N,BYKDBGZAUUNZAP,OCCCCCN1C=C(C2=CC=CC=C12)C(=O)N[C@@H](C(C)C)C(=O)OCC,3.5801399433324885,2.9426949097581154,3.8652353385720977
5-Fluoro MDMB-PICA metabolite 7,Cannabinoids,VZDMQSRBNZTURL-QGZVFWFLSA-N,VZDMQSRBNZTURL,FCCCCCN1C=C(C2=CC=CC=C12)C(=O)N[C@H](C(=O)O)C(C)(C)C,3.132001523622008,2.5554280924322814,3.3933632527711715
5-fluoro MDMB-PICA metabolite 8,Cannabinoids,VDBNPGGUQVGIFX-MRXNPFEDSA-N,VDBNPGGUQVGIFX,O=C(O)CCN1C=C(C(N[C@@H](C(C)(C)C)C(OC)=O)=O)C2=C1C=CC=C2,3.4060188624561145,2.6272719204015287,3.6680681331835414
5-fluoro MDMB-PICA metabolite 9,Cannabinoids,CUJKLIFBKSGIOH-GOSISDBHSA-N,CUJKLIFBKSGIOH,FCCCCCN1C=C(C2=CC=C(C=C12)O)C(=O)N[C@H](C(=O)OC)C(C)(C)C,3.2337439223021267,2.5153556476071675,3.5298625762743834
5-fluoro MMB-P7AICA,Cannabinoids,AYEFOUPKQGDQBK-HNNXBMFYSA-N,AYEFOUPKQGDQBK,FCCCCN1C=C(C=2C1=NC=CC2)C(=O)N[C@@H](C(C)C)C(=O)OC,3.413495650043227,2.631402907418389,3.6820213910256925
5-Fluoro-2-ADB-PINACA isomer 2,Cannabinoids,CIXZTODJNNGQFI-BBRMVZONSA-N,CIXZTODJNNGQFI,O=C(C1=C2C=CC=CC2=NN1CCCCCF)N[C@@H]([C@@H](C)CC)C(N)=O,3.1730559300811785,2.3588516728583695,3.239533247865068
"5-Fluoro-3,5-AB-PFUPPYCA",Cannabinoids,JPKXVUNTSWGYKJ-UHFFFAOYSA-N,JPKXVUNTSWGYKJ,O=C(C1=CC(C2=CC=C(F)C=C2)=NN1CCCCCF)N[C@@H](C(C)C)C(N)=O,3.547117742106497,2.7798820557202766,3.547117742106497
5-fluoro-AKB48 N-(4-hydroxypentyl) metabolite,Cannabinoids,BOGHQNVNYXAOJR-UHFFFAOYSA-N,BOGHQNVNYXAOJR,O=C(C1=NN(CCCC(O)CF)C2=C1C=CC=C2)NC3(C4)CC5CC4CC(C5)C3,3.823626872850325,3.10484478189145,3.823626872850325
5-Fluoropentyl-3-pyridinoylindole,Cannabinoids,CNMQLCYLJPWHEW-UHFFFAOYSA-N,CNMQLCYLJPWHEW,O=C(C1=CN(CCCCCF)C2=C1C=CC=C2)C3=CC=CN=C3,3.8593168214494438,3.1772894481136817,3.8593168214494438
5F-MDMB-P4AICA,Cannabinoids,YUNKAZHULJISDA-UHFFFAOYSA-N,YUNKAZHULJISDA,CC(C)(C)C(NC(C1=CN(CCCCCF)C2=CC=CN=C21)=O)C(OC)=O,3.3596395846769918,2.6841838757541603,3.6274961862104376
5F-MDMB-P7AICA,Cannabinoids,LIRBKFHBIDESHO-UHFFFAOYSA-N,LIRBKFHBIDESHO,CC(C)(C)C(NC(C1=CN(CCCCCF)C2=NC=CC=C21)=O)C(OC)=O,3.6617003400839163,2.9711755508627338,3.8355343675115154
5F-MDMB-P7AICA (Hydrolysat),Cannabinoids,IONFTZRRFFXYIH-OAHLLOKOSA-N,IONFTZRRFFXYIH,FCCCCCN1C=C(C=2C1=NC=CC2)C(=O)N[C@H](C(=O)O)C(C)(C)C,3.30443818315453,2.6752935613531696,3.586128800374401
5F-MDMB-PICA,Cannabinoids,CHSUEEBESACQDV-GOSISDBHSA-N,CHSUEEBESACQDV,CC(C)(C)[C@H](NC(C1=CN(CCCCCF)C2=C1C=CC=C2)=O)C(OC)=O,3.4655297238471388,2.8555241697026026,3.6962133401593924
5F-MDMB-PINACA COOH metabolite,Cannabinoids,MVDXLPCBCLGFHC-MRXNPFEDSA-N,MVDXLPCBCLGFHC,CC(C)(C)[C@@H](C(O)=O)NC(C1=NN(CCCCCF)C2=C1C=CC=C2)=O,3.0048867736104126,2.4499378844240978,3.1690008648130723
5F-MN-18,Cannabinoids,XBSWUIWDRFCAGZ-UHFFFAOYSA-N,XBSWUIWDRFCAGZ,O=C(C1=NN(CCCCCF)C2=C1C=CC=C2)NC3=C4C=CC=CC4=CC=C3,3.832909336280543,3.181526734562311,3.832909336280543
5F-MN-24,Cannabinoids,DJKVOBZLMBHFKX-UHFFFAOYSA-N,DJKVOBZLMBHFKX,O=C(C1=CN(CCCCCF)C2=C1C=CC=C2)NC3=C4C=CC=CC4=CC=C3,4.197109024867922,3.5192157189160507,4.197109024867922
5F-NNEI-2,Cannabinoids,NQVUCORTOJUJIB-UHFFFAOYSA-N,NQVUCORTOJUJIB,O=C(C1=CN(CCCCCF)C2=C1C=CC=C2)NC3=CC=C4C=CC=CC4=C3,4.166757901763551,3.565635012728406,4.166757901763551
5F-NPB-22,Cannabinoids,DZNDVBLSHUYZLI-UHFFFAOYSA-N,DZNDVBLSHUYZLI,O=C(C1=NN(CCCCCF)C2=C1C=CC=C2)OC3=C4N=CC=CC4=CC=C3,3.4096012471148582,2.678357251962248,3.4096012471148582
5F-NPB-22 3-Carboxyindazole,Cannabinoids,KETGGOUVOCNXPO-UHFFFAOYSA-N,KETGGOUVOCNXPO,O=C(O)C1=NN(CCCCCF)C2=C1C=CC=C2,2.8079621631612475,2.3892434918017704,2.870778835204496
5F-PB-22,Cannabinoids,MBOCMBFDYVSGLJ-UHFFFAOYSA-N,MBOCMBFDYVSGLJ,O=C(C1=CN(CCCCCF)C2=C1C=CC=C2)OC3=C4N=CC=CC4=CC=C3,3.7789917410013536,2.956391715185693,3.7789917410013536
5F-PB-22 3-carboxyindole,Cannabinoids,DYLIZXRQZRUDLA-UHFFFAOYSA-N,DYLIZXRQZRUDLA,O=C(C1=CN(CCCCCF)C2=C1C=CC=C2)O,3.130793205645124,2.729590974353613,3.1504549172475285
5F-PCN,Cannabinoids,BRRZRRZUERBDQL-UHFFFAOYSA-N,BRRZRRZUERBDQL,O=C(C1=CN(CCCCCF)C2=C1C=NC=C2)NC3=C4C=CC=CC4=CC=C3,4.2163926705389665,3.501505582953695,4.2163926705389665
5F-PY-PICA,Cannabinoids,AJOAHRJLOXOZKX-UHFFFAOYSA-N,AJOAHRJLOXOZKX,O=C(C1=CN(CCCCCF)C2=C1C=CC=C2)N3CCCC3,3.7949379709082707,3.2470484153703496,3.7949379709082707
5F-PY-PINACA,Cannabinoids,GSCLIRQNUBFUJA-UHFFFAOYSA-N,GSCLIRQNUBFUJA,FCCCCCN1N=C(C(=O)N2CCCC2)C2=CC=CC=C12,3.5577523784788334,3.0691651211107005,3.5614137625913695
5F-SDB-005,Cannabinoids,FNMFGMMHNFDPNT-UHFFFAOYSA-N,FNMFGMMHNFDPNT,FCCCCCN1N=C(C2=CC=CC=C12)C(=O)OC1=CC=CC2=CC=CC=C12,3.32561393174924,2.7125977009110693,3.337793760452401
5F-SDB-006,Cannabinoids,VFLXAWVAWXHMFB-UHFFFAOYSA-N,VFLXAWVAWXHMFB,FCCCCCN1C=C(C(NCC2=CC=CC=C2)=O)C3=C1C=CC=C3,4.062285302248304,3.5000146588021317,4.062285302248304
5F-THJ,Cannabinoids,GMRIDDSOZRLMAN-UHFFFAOYSA-N,GMRIDDSOZRLMAN,O=C(NC1=C(N=CC=C2)C2=CC=C1)C3=NN(CCCCCF)C4=C3C=CC=C4,3.817921418867585,3.1399657209006113,3.817921418867585
5-HTP,Indolalkylamines,LDCYZAJDBXYCGN-UHFFFAOYSA-N,LDCYZAJDBXYCGN,NC(C(=O)O)CC1=CNC2=CC=C(C=C12)O,2.7498067500255092,2.6530790078274347,3.295374369024835
5-IAI,Aminoindanes,BIHPYCDDPGNWQO-UHFFFAOYSA-N,BIHPYCDDPGNWQO,NC1CC2=C(C=C(I)C=C2)C1,3.4315330043499803,1.7092810836050656,3.459187272217297
5-IT,Indolalkylamines,AULGMISRJWGTBA-UHFFFAOYSA-N,AULGMISRJWGTBA,CC(N)CC1=CC2=C(NC=C2)C=C1,3.0796552630255203,2.761045563944026,3.1990948124899385
5-MAPB,Arylalkylamines,ZOVRTIPCNFERHY-UHFFFAOYSA-N,ZOVRTIPCNFERHY,CC(NC)CC1=CC2=C(OC=C2)C=C1,3.7089872908105996,2.910418332828985,3.7089872908105996
5-MAPDB,Arylalkylamines,PLQTZOCLUHHCOI-UHFFFAOYSA-N,PLQTZOCLUHHCOI,CC(NC)CC1=CC=C(OCC2)C2=C1,3.7089872908105996,2.910418332828985,3.7089872908105996
5-MAPDI,Phenethylamines,MHBKJTHGGWQKSG-UHFFFAOYSA-N,MHBKJTHGGWQKSG,CC(NC)CC1=CC2=C(CCC2)C=C1,4.411853711533673,3.093012405181886,4.411853711533673
5-MBPB,Arylalkylamines,CTEZPBCLIKEASW-UHFFFAOYSA-N,CTEZPBCLIKEASW,CCC(NC)CC1=CC2=C(OC=C2)C=C1,3.936887554661259,2.996285144863578,3.936887554661259
5-MeO-Amt,Indolalkylamines,OGNJZVNNKBZFRM-UHFFFAOYSA-N,OGNJZVNNKBZFRM,COC1=CC2=C(NC=C2CC(C)N)C=C1,3.3292635617956483,2.93197553982328,3.5753457198436993
5-MeO-DALT,Indolalkylamines,HGRHWEAUHXYNNP-UHFFFAOYSA-N,HGRHWEAUHXYNNP,C=CCN(CC=C)CCC1=CNC2=C1C=C(OC)C=C2,4.111965138346134,3.518121714613509,4.2130324862517305
5-MeO-DBT,Indolalkylamines,WVGCRISHWANOTO-UHFFFAOYSA-N,WVGCRISHWANOTO,C(CCC)N(CCCC)CCC1=CNC2=CC=C(C=C12)OC,4.396867947838837,3.8153122481460304,4.492286503982866
5-MeO-DET,Indolalkylamines,KGDVJQQWCDDEPP-UHFFFAOYSA-N,KGDVJQQWCDDEPP,COC1=CC2=C(NC=C2CCN(CC)CC)C=C1,3.741766394999319,3.225864644764738,3.9655930100034
5-MeO-DiBF,Arylalkylamines,NBFMSQBTYHYVKP-UHFFFAOYSA-N,NBFMSQBTYHYVKP,CC(N(C(C)C)CCC1=COC2=C1C=C(OC)C=C2)C,3.8763508347229427,3.2305544804254156,3.9185886407998263
5-MeO-DiPT,Indolalkylamines,DNBPMBJFRRVTSJ-UHFFFAOYSA-N,DNBPMBJFRRVTSJ,CC(N(C(C)C)CCC1=CNC2=C1C=C(OC)C=C2)C,4.010333710516656,3.3166487822734103,4.108379101106126
5-MeO-DMT,Indolalkylamines,ZSTKHSQDNIGFLM-UHFFFAOYSA-N,ZSTKHSQDNIGFLM,COC=1C=C2C(=CNC2=CC1)CCN(C)C,3.4524824555278366,3.020087948253141,3.7533558681206842
5-MeO-DPT,Indolalkylamines,PNHPVNBKLQWBKH-UHFFFAOYSA-N,PNHPVNBKLQWBKH,CCCN(CCC1=CNC2=C1C=C(OC)C=C2)CCC,4.111965138346134,3.518121714613509,4.2130324862517305
5-MeO-EIPT,Indolalkylamines,VVEQXDHSGNBFLZ-UHFFFAOYSA-N,VVEQXDHSGNBFLZ,CC(N(CC)CCC1=CNC2=C1C=C(OC)C=C2)C,3.834369649090384,3.2595009507056902,4.016439450077159
5-MeO-EPT,Indolalkylamines,OQHFIOKNGNJPPF-UHFFFAOYSA-N,OQHFIOKNGNJPPF,CCCN(CC)CCC1=CNC2=C1C=C(OC)C=C2,3.84986343047623,3.3056442580741106,3.95981393496918
5-MeO-MALT,Indolalkylamines,AJHGTCBMUIJSQL-UHFFFAOYSA-N,AJHGTCBMUIJSQL,C=CCN(CCC1=CNC2=C1C=C(OC)C=C2)C,3.754338383800639,3.2618612658249813,3.8940224714714073
5-MeO-MET,Indolalkylamines,AVECDEWGCOLCPZ-UHFFFAOYSA-N,AVECDEWGCOLCPZ,CN(CC)CCC1=CNC2=C1C=C(OC)C=C2,3.4925890611073216,3.060044804206594,3.7835460283563163
5-MeO-MiPT,Indolalkylamines,HEDOODBJFVUQMS-UHFFFAOYSA-N,HEDOODBJFVUQMS,CN(C(C)C)CCC1=CNC2=CC=C(OC)C=C12,3.7430531550515647,3.228739667020637,3.966879770055646
5-MeO-MPMI,Indolalkylamines,MKEGUJPBCIXABO-GFCCVEGCSA-N,MKEGUJPBCIXABO,COC=1C=C2C(=CNC2=CC1)C[C@@H]1N(CCC1)C,3.6818431651188304,3.109898750581144,3.8897029203377436
5-MeO-NiPT,Indolalkylamines,QQZJNZJNPDORBO-UHFFFAOYSA-N,QQZJNZJNPDORBO,CC(NCCC1=CNC2=C1C=C(OC)C=C2)C,3.4385846429704654,3.00373925676181,3.8960207708465697
5-MeO-NMT,Indolalkylamines,NFDDCRIHMZGWBP-UHFFFAOYSA-N,NFDDCRIHMZGWBP,COC=1C=C2C(=CNC2=CC1)CCNC,3.2574252580701817,3.0097393802974564,3.769768979044058
5-MeO-pyr-T,Indolalkylamines,KAASYKNZNPWPQG-UHFFFAOYSA-N,KAASYKNZNPWPQG,COC1=CC2=C(NC=C2CCN3CCCC3)C=C1,3.744629851791601,3.2303163637606733,3.9560137959679573
5-MeO-TMT,Indolalkylamines,ACEHBQPPDDGCGZ-UHFFFAOYSA-N,ACEHBQPPDDGCGZ,COC=1C=C2C(=C(NC2=CC1)C)CCN(C)C,3.5630127189671863,3.0700748079712783,3.783616013922867
5-MeO-tryptamine,Indolalkylamines,JTEJPPKMYBDEMY-UHFFFAOYSA-N,JTEJPPKMYBDEMY,NCCC1=CNC2=C1C=C(OC)C=C2,3.047072233093972,2.8567861799029637,3.436206079024833
"5-methoxy N,N-diethyl Hexylone",Cathinones,BTCQJBCWDVWCOA-UHFFFAOYSA-N,BTCQJBCWDVWCOA,C(C)N(C(C(=O)C1=CC2=C(OCO2)C(=C1)OC)CCCC)CC,3.3871946371357207,2.7217394742902163,3.892760040443147
5-Methoxy-Methylone,Cathinones,MPMHRFOOZMFFBD-UHFFFAOYSA-N,MPMHRFOOZMFFBD,CC(NC)C(C1=CC(OC)=C(OCO2)C2=C1)=O,3.0396386977755374,2.483792148260594,3.3595019995402877
"5-methoxy-N,N-Diethylpentylone",Cathinones,ZUDWPDKEKRSMPS-UHFFFAOYSA-N,ZUDWPDKEKRSMPS,CCCC(N(CC)CC)C(C1=CC(OC)=C(OCO2)C2=C1)=O,3.3051931373942045,2.621592741836486,3.8998987083195154
5-Methyl-MDA,Phenethylamines,OLENSVFSNAULML-UHFFFAOYSA-N,OLENSVFSNAULML,CC(N)CC1=CC(C)=C(OCO2)C2=C1,2.4095539322612005,2.263098273838371,2.652755132291281
5-OH-MDMB-PICA,Cannabinoids,LZMVGZFNHSKNMW-UHFFFAOYSA-N,LZMVGZFNHSKNMW,OCCCCCN(C=C1C(NC(C(OC)=O)C(C)(C)C)=O)C2=C1C=CC=C2,3.514583609280172,2.8985270399139775,3.714424656843204
5-PPDi,Cathinones,HLBROWUOAAQHCM-UHFFFAOYSA-N,HLBROWUOAAQHCM,CCC(N1CCCC1)C(C2=CC3=C(CCC3)C=C2)=O,3.9322303515507855,3.283923172747849,4.103096216538079
6-Acetylcodeine,Opioids,MFXFQKMUCYHPFQ-BKRJIHRRSA-N,MFXFQKMUCYHPFQ,[H][C@@]12OC3=C(OC)C=CC4=C3[C@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@]2([H])OC(C)=O,3.465217015348503,2.7553554391960566,3.605214867137916
6-APB,Arylalkylamines,FQDAMYLMQQKPRX-UHFFFAOYSA-N,FQDAMYLMQQKPRX,CC(N)CC1=CC2=C(C=C1)C=CO2,3.16299049771917,2.755797418815349,3.16299049771917
6-APDB,Arylalkylamines,VRNGXHJGMCJRSQ-UHFFFAOYSA-N,VRNGXHJGMCJRSQ,CC(N)CC1=CC2=C(C=C1)CCO2,3.16299049771917,2.755797418815349,3.16299049771917
6-Bromo-MDMA,Phenethylamines,ZIBHSZQEEWBQLW-UHFFFAOYSA-N,ZIBHSZQEEWBQLW,CC(NC)CC1=C(Br)C=C(OCO2)C2=C1,3.0973642004561612,2.8584502327839623,3.190379421346316
6-EAPB,Arylalkylamines,MIRNYUKRRZFBOI-UHFFFAOYSA-N,MIRNYUKRRZFBOI,O1C=CC2=C1C=C(C=C2)CC(C)NCC,3.866604729463712,3.309582586372455,3.866604729463712
6-IT,Arylalkylamines,QCFIFKAOUKPFPU-UHFFFAOYSA-N,QCFIFKAOUKPFPU,CC(N)CC1=CC2=C(C=C1)C=CN2,3.128400875834354,2.8391956593198904,3.2388681309361576
6-MAPB,Phenethylamines,QLAAURQYEAEHBO-UHFFFAOYSA-N,QLAAURQYEAEHBO,O1C=CC2=C1C=C(C=C2)CC(C)NC,3.6817032024912626,3.140447808220011,3.6817032024912626
6-MeO-DiPT,Indolalkylamines,VVHSFCPALYIWMT-UHFFFAOYSA-N,VVHSFCPALYIWMT,CC(N(CCC1=CNC2=C1C=CC(OC)=C2)C(C)C)C,4.006260152102056,3.305070113348102,4.006260152102056
6-methoxy DMT,Indolalkylamines,AWOWBKXVYZRYSP-UHFFFAOYSA-N,AWOWBKXVYZRYSP,COC=1C=C2NC=C(CCN(C)C)C2=CC1,3.658395934775863,3.108259340541707,3.658395934775863
"6-methoxy-N,N-Diethylpentylone",Cathinones,OZQOTHNGRNUPQU-UHFFFAOYSA-N,OZQOTHNGRNUPQU,C(C)N(C(C(=O)C1=CC2=C(OCO2)C=C1OC)CCC)CC,3.3240069458176422,2.426508877451994,3.836647224313572
6-Methyl-MDA,Phenethylamines,HCFHWXDIZOAUTQ-UHFFFAOYSA-N,HCFHWXDIZOAUTQ,CC=1C(=CC2=C(OCO2)C1)CC(C)N,2.825290871772399,2.4670628291616374,2.8604774124591255
7-aminoclonazepam,Benzodiazepines,HEFRPWRJTGLSSV-UHFFFAOYSA-N,HEFRPWRJTGLSSV,C1C(=O)NC2=C(C=C(C=C2)N)C(=N1)C3=CC=CC=C3Cl,3.2229215585877706,2.8108286780948415,3.378020481612305
7-Aminoflunitrazepam,Benzodiazepines,LTCDLGUFORGHGY-UHFFFAOYSA-N,LTCDLGUFORGHGY,NC=1C=CC2=C(C(=NCC(N2C)=O)C2=C(C=CC=C2)F)C1,3.292358420974278,2.8086239984651122,3.3270719683892844
7-aminonitrazepam,Benzodiazepines,OYOUQHVDCKOOAL-UHFFFAOYSA-N,OYOUQHVDCKOOAL,NC=1C=CC2=C(C(=NCC(N2)=O)C2=CC=CC=C2)C1,3.43193080001566,2.901659153565524,3.5338431031766198
7-APB,Phenethylamines,YVMDMFRZSDUZLK-UHFFFAOYSA-N,YVMDMFRZSDUZLK,NC(CC1=CC=CC=2C=COC21)C,2.8333058064102965,2.325437781220362,2.8333058064102965
7-APDB,Phenethylamines,FVHLRYWNSYCTAK-UHFFFAOYSA-N,FVHLRYWNSYCTAK,NC(CC1=CC=CC=2CCOC21)C,2.8333058064102965,2.325437781220362,2.8333058064102965
7-Hydroxymitragynine,Plants & extracts,RYENLSMHLCNXJT-CYXFISRXSA-N,RYENLSMHLCNXJT,O=C(OC)/C([C@@H](C[C@]12[H])[C@H](CC)CN1CC[C@@]3(O)C2=NC4=C3C(OC)=CC=C4)=C/OC,3.936206384158501,3.1126280847147885,4.116345616532248
7-MeO-DiPT,Indolalkylamines,CYDOUMFFIKOFBJ-UHFFFAOYSA-N,CYDOUMFFIKOFBJ,CC(N(CCC1=CNC2=C1C=CC=C2OC)C(C)C)C,4.1584185274448435,3.4957564079687646,4.278313313413333
8-Aminoclonazolam,Benzodiazepines,XGLOOOYZAISIOP-UHFFFAOYSA-N,XGLOOOYZAISIOP,ClC1=C(C=CC=C1)C1=NCC=2N(C3=C1C=C(C=C3)N)C(=NN2)C,3.5164703838563307,3.1523079779102474,3.858862552978832
8-Chlorotheophylline,Unknown,RYIGNEOBDRVTHA-UHFFFAOYSA-N,RYIGNEOBDRVTHA,ClC1=NC=2N(C(N(C(C2N1)=O)C)=O)C,2.6995233661327505,2.2117654626118197,2.8954114017528503
A03,Unknown,IGOXMJNGGGFQOV-UHFFFAOYSA-N,IGOXMJNGGGFQOV,FC1=CC=C(C(=O)NCC2(CCCCC2)N(C)C)C=C1,3.5307394545716377,3.0162105128091383,3.5307394545716377
A04,Unknown,SMXCKIFYXXJWQG-UHFFFAOYSA-N,SMXCKIFYXXJWQG,FC(C1=CC=C(C(=O)NCC2(CCCCC2)N(C)C)C=C1)(F)F,3.3048245049682397,2.8858063183190787,3.3650488581516353
A05,Unknown,JMTHOIGGAHWQJU-UHFFFAOYSA-N,JMTHOIGGAHWQJU,COC1=CC=C(C(=O)NCC2(CCCCC2)N(C)C)C=C1,3.3451081286007427,2.8862242142433696,3.5377200978875054
A06,Unknown,DJQCTZSKDIDLKH-UHFFFAOYSA-N,DJQCTZSKDIDLKH,FC=1C=C(C(=O)NCC2(CCCCC2)N(C)C)C=CC1F,3.4825079223115027,2.9316142198926545,3.4825079223115027
A07,Unknown,NSMAOTNCYHMVJX-UHFFFAOYSA-N,NSMAOTNCYHMVJX,ClC=1C=C(C=CC1Cl)S(=O)(=O)NCC1(CCCCC1)N(C)C,2.870392191669557,2.6546008969468295,3.273669348857643
A08,Unknown,RHNRWKLWYAKABH-UHFFFAOYSA-N,RHNRWKLWYAKABH,BrC1=CC=C(C(=O)NCC2(CCCCC2)N(C)C)C=C1,3.510810625551176,3.0389061419248247,3.510810625551176
A09,Unknown,WBKQUAIHMZQVOX-UHFFFAOYSA-N,WBKQUAIHMZQVOX,ClC1=C(C(=O)NCC2(CCCCC2)N(C)C)C=CC=N1,2.9417790366841396,2.6531795172135673,3.0942204553417296
A10,Unknown,ZLVHUICRPQDDPU-UHFFFAOYSA-N,ZLVHUICRPQDDPU,C1(=CC=CC2=CC=CC=C12)C(=O)NCC1(CCCCC1)N(C)C,4.107017799093013,3.364010160965483,4.107017799093013
A11,Unknown,MMHKHYDFHKCOIA-UHFFFAOYSA-N,MMHKHYDFHKCOIA,C(C1=CN=CC=C1)(=O)NCC1(CCCCC1)N(C)C,3.502722265320495,2.9229386839214766,3.502722265320495
A12,Unknown,YYCSQPBLYZBXJS-UHFFFAOYSA-N,YYCSQPBLYZBXJS,C(C1=CC=NC=C1)(=O)NCC1(CCCCC1)N(C)C,3.5502509400586404,2.979662636429556,3.847915840633055
A14,Unknown,KXIBXFSJBXTHGD-UHFFFAOYSA-N,KXIBXFSJBXTHGD,C12(CC3CC(CC(C1)C3)C2)C(=O)NCC2(CCCCC2)N(C)C,3.838377024126527,3.1489586533277705,3.9281892395105675
A16,Unknown,MISBFSXDLFXHFG-UHFFFAOYSA-N,MISBFSXDLFXHFG,FC=1C=C(C(=O)NCC2(CCCCC2)N(C)C)C=CC1,3.525909869835692,2.996685496060018,3.525909869835692
