Ionization Mode;name;pH_aq;CAS Registry Number;DTXSID;MS-Ready DTXCID;Number of Mixtures;Mixture;Retention Time;Concentration Level;Concentration (mM);Observed Intensity;Normalization Factor;Normalized Intensity;log-log Calibration Curve Intercept;log-log Calibration Curve Slope;Calibration Curve Concentration Estimate (mM);Upper-Bound Calibration Curve Concentration Estimate (mM);Lower-Bound Calibration Curve Concentration Estimate (mM);True Concentration Within CC-Based Concentration Bounds?;Error Quotient: Upper-Bound Calibration Curve Concentration Estimate / True Concentration;Response Factor;Upper-Bound RF-Based Concentration Estimate (mM);Lower-Bound RF-Based Concentration Estimate (mM);True Concentration Within RF-Based Concentration Bounds?;Error Quotient: Upper-Bound RF-Based Concentration Estimate / True Concentration;logIE;instrument;source;solvent;doi;Box-Cox Transformed Response Factor (l = -0.106);Linear Mixed-Effects Model Transformed Response Factor Estimate;Smoothed Linear Mixed-Effects Model Upper-Bound Transformed Response Factor Estimate;Smoothed Linear Mixed-Effects Model Lower-Bound Transformed Response Factor Estimate;IE-Based RF Imputed with Minimum RF / √2;Upper-Bound IE-Based Concentration Estimate (mM);Lower-Bound IE-Based Concentration Estimate (mM);True Concentration Within IE-Based Concentration Bounds?;Error Quotient: Upper-Bound IE-Based Concentration Estimate / True Concentration;Prediction Quotient: Upper-Bound RF-Based Concentration Estimate / Upper Bound IE-Based Concentration Estimate
Esi-;Diclosulam;6;145701-21-9;DTXSID4034528;DTXCID2014528;1;506;3.66;High;0.49;1.70E+05;1.508;2.56E+05;5.67;0.846;0.49;NA;NA;;NA;5.22E+05;0.924;0.006;YES;1.885;2.118;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.097;7.538;8.057;7.019;NO;0.668;0.003;YES;1.363;1.383
Esi-;Fipronil;6;120068-37-3;DTXSID4034609;DTXCID2014609;1;506;9.63;Low;0.024;1.10E+06;1.652;1.82E+06;7.86;0.995;0.024;NA;NA;;NA;7.57E+07;6.559;0.04;NO;273.294;2.214;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;8.055;7.548;8.068;7.029;NO;4.558;0.022;YES;189.933;1.439
Esi-;Fipronil;6;120068-37-3;DTXSID4034609;DTXCID2014609;1;506;9.63;Mid;0.122;5.73E+06;1.517;8.69E+06;7.86;0.995;0.118;NA;NA;;NA;7.12E+07;31.355;0.192;NO;257.009;2.214;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;8.046;7.548;8.068;7.029;NO;21.791;0.105;YES;178.615;1.439
Esi-;Fipronil;6;120068-37-3;DTXSID4034609;DTXCID2014609;1;506;9.63;High;0.49;2.43E+07;1.508;3.66E+07;7.86;0.995;0.5;NA;NA;;NA;7.48E+07;132.241;0.81;NO;269.88;2.214;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;8.053;7.548;8.068;7.029;NO;91.904;0.444;YES;187.56;1.439
Esi-;Tebufenozide;6;112410-23-8;DTXSID4034948;DTXCID2014948;1;504;9.83;Low;0.024;9.31E+04;1.882;1.75E+05;6.77;0.948;0.024;NA;NA;;NA;7.30E+06;0.632;0.004;YES;26.348;1.47;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.667;7.468;7.987;6.95;NO;0.597;0.004;YES;24.864;1.06
Esi-;Tebufenozide;6;112410-23-8;DTXSID4034948;DTXCID2014948;1;504;9.83;Mid;0.122;5.19E+05;1.519;7.89E+05;6.77;0.948;0.119;NA;NA;;NA;6.47E+06;2.848;0.017;YES;23.348;1.47;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.644;7.468;7.987;6.95;NO;2.688;0.016;YES;22.033;1.06
Esi-;Tebufenozide;6;112410-23-8;DTXSID4034948;DTXCID2014948;1;504;9.83;High;0.49;1.91E+06;1.602;3.07E+06;6.77;0.948;0.497;NA;NA;;NA;6.26E+06;11.067;0.068;YES;22.586;1.47;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.638;7.468;7.987;6.95;NO;10.444;0.064;YES;21.313;1.06
Esi-;2,6-Di-tert-butyl-4-nitrophenol;6;728-40-5;DTXSID4021559;DTXCID201559;1;505;11.43;Low;0.024;1.15E+06;0.609;7.02E+05;7.55;1.041;0.023;NA;NA;;NA;2.93E+07;2.535;0.016;YES;105.628;1.334;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.909;7.454;7.972;6.936;NO;2.527;0.016;YES;105.274;1.003
Esi-;2,6-Di-tert-butyl-4-nitrophenol;6;728-40-5;DTXSID4021559;DTXCID201559;1;505;11.43;Mid;0.122;6.82E+06;0.621;4.23E+06;7.55;1.041;0.131;NA;NA;;NA;3.47E+07;15.287;0.094;YES;125.304;1.334;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.936;7.454;7.972;6.936;NO;15.236;0.097;YES;124.884;1.003
Esi-;2,6-Di-tert-butyl-4-nitrophenol;6;728-40-5;DTXSID4021559;DTXCID201559;1;505;11.43;High;0.49;2.54E+07;0.636;1.62E+07;7.55;1.041;0.472;NA;NA;;NA;3.30E+07;58.333;0.357;YES;119.047;1.334;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.928;7.454;7.972;6.936;NO;58.138;0.37;YES;118.648;1.003
Esi-;Sodium 4-nitrophenolate;6;824-78-2;DTXSID3027320;DTXCID201834;1;502;1.78;Low;0.061;1.69E+06;0.531;8.95E+05;7.23;1.046;0.06;NA;NA;;NA;1.47E+07;3.231;0.02;YES;52.959;1.051;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.793;7.424;7.942;6.906;NO;3.605;0.025;YES;59.104;0.896
Esi-;Sodium 4-nitrophenolate;6;824-78-2;DTXSID3027320;DTXCID201834;1;502;1.78;Mid;0.244;8.47E+06;0.484;4.10E+06;7.23;1.046;0.256;NA;NA;;NA;1.68E+07;14.793;0.091;YES;60.626;1.051;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.817;7.424;7.942;6.906;NO;16.509;0.114;YES;67.66;0.896
Esi-;Sodium 4-nitrophenolate;6;824-78-2;DTXSID3027320;DTXCID201834;1;502;1.78;High;0.732;2.43E+07;0.493;1.20E+07;7.23;1.046;0.713;NA;NA;;NA;1.64E+07;43.213;0.265;YES;59.034;1.051;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.812;7.424;7.942;6.906;NO;48.226;0.334;YES;65.883;0.896
Esi-;4-Chlorophenol;6;106-48-9;DTXSID1021871;DTXCID201871;1;505;3.7;Mid;0.122;4.67E+04;0.621;2.90E+04;5.2;0.809;0.122;NA;NA;;NA;2.38E+05;0.105;0.001;NO;0.858;0.464;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;6.894;7.361;7.878;6.843;NO;0.147;0.001;YES;1.206;0.712
Esi-;4-Chlorophenol;6;106-48-9;DTXSID1021871;DTXCID201871;1;505;3.7;High;0.49;1.40E+05;0.636;8.93E+04;5.2;0.809;0.49;NA;NA;;NA;1.82E+05;0.322;0.002;NO;0.658;0.464;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;6.821;7.361;7.878;6.843;NO;0.453;0.004;NO;0.925;0.712
Esi-;Aplaviroc hydrochloride;6;461023-63-2;DTXSID1047316;DTXCID20197204;1;504;7.28;Mid;0.0488;7.18E+04;1.519;1.09E+05;6.1;0.81;0.049;NA;NA;;NA;2.23E+06;0.394;0.002;YES;8.064;1.301;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.431;7.45;7.969;6.932;NO;0.398;0.003;YES;8.147;0.99
Esi-;Aplaviroc hydrochloride;6;461023-63-2;DTXSID1047316;DTXCID20197204;1;504;7.28;High;0.196;2.10E+05;1.602;3.36E+05;6.1;0.81;0.196;NA;NA;;NA;1.72E+06;1.214;0.007;YES;6.194;1.301;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.374;7.45;7.969;6.932;NO;1.227;0.008;YES;6.258;0.99
Esi-;Carabersat;6;184653-84-7;DTXSID6047319;DTXCID20210220;1;505;5.43;Low;0.024;1.04E+06;0.609;6.33E+05;7.33;0.932;0.023;NA;NA;;NA;2.64E+07;2.285;0.014;YES;95.2;1.888;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.892;7.513;8.032;6.995;NO;1.818;0.01;YES;75.742;1.257
Esi-;Carabersat;6;184653-84-7;DTXSID6047319;DTXCID20210220;1;505;5.43;Mid;0.122;5.34E+06;0.621;3.32E+06;7.33;0.932;0.135;NA;NA;;NA;2.72E+07;11.976;0.073;YES;98.162;1.888;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.897;7.513;8.032;6.995;NO;9.528;0.051;YES;78.099;1.257
Esi-;Carabersat;6;184653-84-7;DTXSID6047319;DTXCID20210220;1;505;5.43;High;0.49;1.64E+07;0.636;1.05E+07;7.33;0.932;0.463;NA;NA;;NA;2.13E+07;37.754;0.231;YES;77.049;1.888;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.857;7.513;8.032;6.995;NO;30.038;0.161;YES;61.301;1.257
Esi-;4'-Sulfamylacetanilide;6;121-61-9;DTXSID4041529;DTXCID2021529;1;501;0.52;Low;0.0192;5.70E+04;0.534;3.05E+04;6.09;0.935;0.019;NA;NA;;NA;1.59E+06;0.11;0.001;YES;5.727;1.084;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.357;7.427;7.945;6.909;NO;0.121;0.001;YES;6.31;0.908
Esi-;4'-Sulfamylacetanilide;6;121-61-9;DTXSID4041529;DTXCID2021529;1;501;0.52;Mid;0.0976;2.81E+05;0.498;1.40E+05;6.09;0.935;0.098;NA;NA;;NA;1.43E+06;0.505;0.003;YES;5.17;1.084;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.334;7.427;7.945;6.909;NO;0.556;0.004;YES;5.697;0.908
Esi-;4'-Sulfamylacetanilide;6;121-61-9;DTXSID4041529;DTXCID2021529;1;501;0.52;High;0.392;9.28E+05;0.551;5.11E+05;6.09;0.935;0.391;NA;NA;;NA;1.30E+06;1.846;0.011;YES;4.708;1.084;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.313;7.427;7.945;6.909;NO;2.034;0.014;YES;5.188;0.908
Esi-;Chlorthiamid;6;1918-13-4;DTXSID4041783;DTXCID2021783;1;500;2.03;Mid;0.122;7.28E+04;1.452;1.06E+05;5.72;0.759;0.122;NA;NA;;NA;8.67E+05;0.382;0.002;YES;3.129;0.166;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.219;7.329;7.846;6.811;NO;0.602;0.005;YES;4.932;0.634
Esi-;Chlorthiamid;6;1918-13-4;DTXSID4041783;DTXCID2021783;1;500;2.03;High;0.49;2.23E+05;1.36;3.04E+05;5.72;0.759;0.49;NA;NA;;NA;6.20E+05;1.097;0.007;YES;2.239;0.166;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.139;7.329;7.846;6.811;NO;1.729;0.015;YES;3.528;0.634
Esi-;Benzylparaben;6;94-18-8;DTXSID9022526;DTXCID202526;1;501;7.8;Low;0.024;4.80E+05;0.534;2.56E+05;7.15;1.077;0.024;NA;NA;;NA;1.07E+07;0.925;0.006;YES;38.539;1.365;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.737;7.457;7.976;6.939;NO;0.911;0.006;YES;37.939;1.016
Esi-;Benzylparaben;6;94-18-8;DTXSID9022526;DTXCID202526;1;501;7.8;Mid;0.122;2.79E+06;0.498;1.39E+06;7.15;1.077;0.117;NA;NA;;NA;1.14E+07;5.022;0.031;YES;41.167;1.365;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.749;7.457;7.976;6.939;NO;4.944;0.031;YES;40.525;1.016
Esi-;Benzylparaben;6;94-18-8;DTXSID9022526;DTXCID202526;1;501;7.8;High;0.49;1.20E+07;0.551;6.63E+06;7.15;1.077;0.5;NA;NA;;NA;1.35E+07;23.924;0.147;YES;48.825;1.365;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.779;7.457;7.976;6.939;NO;23.552;0.149;YES;48.064;1.016
Esi-;Carbutamide;6;339-43-5;DTXSID8022741;DTXCID202741;1;506;0.89;Mid;0.122;1.21E+05;1.517;1.83E+05;5.98;0.781;0.122;NA;NA;;NA;1.50E+06;0.661;0.004;YES;5.422;1.316;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.345;7.452;7.97;6.934;NO;0.664;0.004;YES;5.445;0.996
Esi-;Carbutamide;6;339-43-5;DTXSID8022741;DTXCID202741;1;506;0.89;High;0.49;3.60E+05;1.508;5.43E+05;5.98;0.781;0.49;NA;NA;;NA;1.11E+06;1.96;0.012;YES;4.001;1.316;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.276;7.452;7.97;6.934;NO;1.969;0.013;YES;4.018;0.996
Esi-;Flubendiamide;6;272451-65-7;DTXSID4047672;DTXCID2027672;1;505;10.36;Low;0.018;1.96E+06;0.609;1.19E+06;7.62;0.871;0.017;NA;NA;;NA;6.63E+07;4.31;0.026;NO;239.437;2.605;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;8.036;7.59;8.11;7.071;NO;2.54;0.011;YES;141.118;1.697
Esi-;Flubendiamide;6;272451-65-7;DTXSID4047672;DTXCID2027672;1;505;10.36;Mid;0.0915;9.71E+06;0.621;6.03E+06;7.62;0.871;0.107;NA;NA;;NA;6.59E+07;21.78;0.133;NO;238.031;2.605;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;8.035;7.59;8.11;7.071;NO;12.836;0.054;YES;140.289;1.697
Esi-;Flubendiamide;6;272451-65-7;DTXSID4047672;DTXCID2027672;1;505;10.36;High;0.3675;2.57E+07;0.636;1.63E+07;7.62;0.871;0.337;NA;NA;;NA;4.44E+07;58.938;0.361;YES;160.375;2.605;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.975;7.59;8.11;7.071;NO;34.736;0.147;YES;94.521;1.697
Esi-;5,5-Dimethylbarbituric acid;6;24448-94-0;DTXSID2020509;DTXCID20509;1;505;3.26;Mid;0.122;7.28E+04;0.621;4.52E+04;5.5;0.93;0.122;NA;NA;;NA;3.71E+05;0.163;0.001;YES;1.338;1.249;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.011;7.445;7.963;6.927;NO;0.168;0.001;YES;1.381;0.969
Esi-;5,5-Dimethylbarbituric acid;6;24448-94-0;DTXSID2020509;DTXCID20509;1;505;3.26;High;0.49;2.59E+05;0.636;1.65E+05;5.5;0.93;0.49;NA;NA;;NA;3.36E+05;0.595;0.004;YES;1.214;1.249;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;6.986;7.445;7.963;6.927;NO;0.614;0.004;YES;1.252;0.969
Esi-;Emodin;6;518-82-1;DTXSID5025231;DTXCID205231;1;502;9.11;Low;0.061;2.99E+06;0.531;1.59E+06;7.4;0.969;0.058;NA;NA;;NA;2.60E+07;5.727;0.035;YES;93.883;1.453;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.89;7.467;7.985;6.948;NO;5.441;0.033;YES;89.194;1.053
Esi-;Emodin;6;518-82-1;DTXSID5025231;DTXCID205231;1;502;9.11;Mid;0.244;1.47E+07;0.484;7.11E+06;7.4;0.969;0.273;NA;NA;;NA;2.91E+07;25.674;0.157;YES;105.219;1.453;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.908;7.467;7.985;6.948;NO;24.391;0.15;YES;99.965;1.053
Esi-;Emodin;6;518-82-1;DTXSID5025231;DTXCID205231;1;502;9.11;High;0.732;3.53E+07;0.493;1.74E+07;7.4;0.969;0.688;NA;NA;;NA;2.38E+07;62.825;0.385;YES;85.827;1.453;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.875;7.467;7.985;6.948;NO;59.688;0.367;YES;81.54;1.053
Esi-;Olivetol;6;500-66-3;DTXSID0025812;DTXCID205812;1;505;6.61;Mid;0.122;4.51E+04;0.621;2.80E+04;4.95;0.551;0.122;NA;NA;;NA;2.30E+05;0.101;0.001;NO;0.829;0.102;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;6.885;7.322;7.839;6.804;NO;0.163;0.001;YES;1.34;0.619
Esi-;Olivetol;6;500-66-3;DTXSID0025812;DTXCID205812;1;505;6.61;High;0.49;9.49E+04;0.636;6.03E+04;4.95;0.551;0.49;NA;NA;;NA;1.23E+05;0.218;0.001;NO;0.444;0.102;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;6.71;7.322;7.839;6.804;NO;0.352;0.003;NO;0.718;0.619
Esi-;Tris(1,3-dichloro-2-propyl) phosphate;6;13674-87-8;DTXSID9026261;DTXCID206261;2;502;10.27;Low;0.061;4.66E+04;0.531;2.48E+04;5.76;0.906;0.031;0.186;0.001;YES;3.052;4.06E+05;0.089;0.001;YES;1.465;1.844;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.034;7.508;8.027;6.99;NO;0.072;0;YES;1.187;1.234
Esi-;Tris(1,3-dichloro-2-propyl) phosphate;6;13674-87-8;DTXSID9026261;DTXCID206261;2;502;10.27;Mid;0.244;2.31E+05;0.484;1.12E+05;5.76;0.906;0.165;1.477;0.019;YES;6.052;4.58E+05;0.403;0.002;YES;1.653;1.844;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.064;7.508;8.027;6.99;NO;0.327;0.002;YES;1.339;1.234
Esi-;Tris(1,3-dichloro-2-propyl) phosphate;6;13674-87-8;DTXSID9026261;DTXCID206261;2;502;10.27;High;0.732;6.52E+05;0.493;3.22E+05;5.76;0.906;0.53;10.517;0.086;YES;14.368;4.39E+05;1.161;0.007;YES;1.586;1.844;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.054;7.508;8.027;6.99;NO;0.941;0.005;YES;1.285;1.234
Esi-;Tris(1,3-dichloro-2-propyl) phosphate;6;13674-87-8;DTXSID9026261;DTXCID206261;2;505;10.22;Low;0.024;4.01E+04;0.609;2.44E+04;5.76;0.906;0.031;0.183;0.001;YES;7.627;1.02E+06;0.088;0.001;YES;3.669;1.844;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.256;7.508;8.027;6.99;NO;0.071;0;YES;2.972;1.234
Esi-;Tris(1,3-dichloro-2-propyl) phosphate;6;13674-87-8;DTXSID9026261;DTXCID206261;2;505;10.22;Mid;0.122;2.29E+05;0.621;1.42E+05;5.76;0.906;0.216;2.235;0.028;YES;18.323;1.17E+06;0.514;0.003;YES;4.216;1.844;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.288;7.508;8.027;6.99;NO;0.417;0.002;YES;3.416;1.234
Esi-;Tris(1,3-dichloro-2-propyl) phosphate;6;13674-87-8;DTXSID9026261;DTXCID206261;2;505;10.22;High;0.49;7.87E+05;0.636;5.01E+05;5.76;0.906;0.864;26.633;0.145;YES;54.352;1.02E+06;1.807;0.011;YES;3.688;1.844;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.258;7.508;8.027;6.99;NO;1.464;0.008;YES;2.988;1.234
Esi-;2-Amino-5-nitrophenol;6;121-88-0;DTXSID1020063;DTXCID2063;1;505;0.95;Low;0.024;1.69E+05;0.609;1.03E+05;6.67;1.003;0.022;NA;NA;;NA;4.29E+06;0.372;0.002;YES;15.495;1.248;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.565;7.445;7.963;6.927;NO;0.384;0.003;YES;15.986;0.969
Esi-;2-Amino-5-nitrophenol;6;121-88-0;DTXSID1020063;DTXCID2063;1;505;0.95;Mid;0.122;1.06E+06;0.621;6.56E+05;6.67;1.003;0.142;NA;NA;;NA;5.37E+06;2.367;0.015;YES;19.402;1.248;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.609;7.445;7.963;6.927;NO;2.442;0.016;YES;20.018;0.969
Esi-;2-Amino-5-nitrophenol;6;121-88-0;DTXSID1020063;DTXCID2063;1;505;0.95;High;0.49;3.29E+06;0.636;2.09E+06;6.67;1.003;0.452;NA;NA;;NA;4.27E+06;7.561;0.046;YES;15.43;1.248;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.564;7.445;7.963;6.927;NO;7.801;0.051;YES;15.92;0.969
Esi-;2-Acrylamido-2-methyl-1-propanesulfonic acid;6;15214-89-8;DTXSID5027770;DTXCID207770;1;506;0.39;Low;0.024;5.27E+04;1.652;8.70E+04;6.58;1.026;0.025;NA;NA;;NA;3.62E+06;0.314;0.002;YES;13.086;1.108;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.531;7.43;7.948;6.912;NO;0.343;0.002;YES;14.281;0.916
Esi-;2-Acrylamido-2-methyl-1-propanesulfonic acid;6;15214-89-8;DTXSID5027770;DTXCID207770;1;506;0.39;Mid;0.122;2.53E+05;1.517;3.84E+05;6.58;1.026;0.108;NA;NA;;NA;3.15E+06;1.387;0.009;YES;11.371;1.108;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.503;7.43;7.948;6.912;NO;1.514;0.01;YES;12.41;0.916
Esi-;2-Acrylamido-2-methyl-1-propanesulfonic acid;6;15214-89-8;DTXSID5027770;DTXCID207770;1;506;0.39;High;0.49;1.29E+06;1.508;1.94E+06;6.58;1.026;0.523;NA;NA;;NA;3.96E+06;7.001;0.043;YES;14.288;1.108;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.549;7.43;7.948;6.912;NO;7.641;0.052;YES;15.594;0.916
Esi-;4-Hydroxyacetophenone;6;99-93-4;DTXSID0029133;DTXCID209133;1;505;1.29;Low;0.024;1.43E+05;0.609;8.71E+04;6.62;1.025;0.023;NA;NA;;NA;3.63E+06;0.314;0.002;YES;13.096;0.079;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.531;7.319;7.836;6.802;NO;0.512;0.005;YES;21.344;0.614
Esi-;4-Hydroxyacetophenone;6;99-93-4;DTXSID0029133;DTXCID209133;1;505;1.29;Mid;0.122;8.27E+05;0.621;5.14E+05;6.62;1.025;0.131;NA;NA;;NA;4.21E+06;1.855;0.011;YES;15.206;0.079;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.561;7.319;7.836;6.802;NO;3.024;0.027;YES;24.783;0.614
Esi-;4-Hydroxyacetophenone;6;99-93-4;DTXSID0029133;DTXCID209133;1;505;1.29;High;0.49;3.00E+06;0.636;1.91E+06;6.62;1.025;0.471;NA;NA;;NA;3.89E+06;6.883;0.042;YES;14.047;0.079;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.545;7.319;7.836;6.802;NO;11.218;0.101;YES;22.894;0.614
Esi-;Sodium 1-naphthalenesulfonate;6;130-14-3;DTXSID3042394;DTXCID209777;1;505;0.92;Low;0.024;1.45E+05;0.609;8.81E+04;5.95;0.613;0.023;NA;NA;;NA;3.67E+06;0.318;0.002;YES;13.258;1.173;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.534;7.437;7.955;6.919;NO;0.338;0.002;YES;14.094;0.941
Esi-;Sodium 1-naphthalenesulfonate;6;130-14-3;DTXSID3042394;DTXCID209777;1;505;0.92;Mid;0.122;4.25E+05;0.621;2.64E+05;5.95;0.613;0.136;NA;NA;;NA;2.16E+06;0.953;0.006;YES;7.813;1.173;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.424;7.437;7.955;6.919;NO;1.013;0.007;YES;8.306;0.941
Esi-;Sodium 1-naphthalenesulfonate;6;130-14-3;DTXSID3042394;DTXCID209777;1;505;0.92;High;0.49;8.76E+05;0.636;5.57E+05;5.95;0.613;0.461;NA;NA;;NA;1.14E+06;2.012;0.012;YES;4.107;1.173;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.282;7.437;7.955;6.919;NO;2.139;0.014;YES;4.366;0.941
Esi-;Oxazepam;6;604-75-1;DTXSID1021087;DTXCID301087;1;501;6.49;Low;0.0204;3.87E+04;0.534;2.07E+04;6.11;1.074;0.021;NA;NA;;NA;1.01E+06;0.075;0;YES;3.655;1.533;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.256;7.475;7.994;6.957;NO;0.069;0;YES;3.362;1.087
Esi-;Oxazepam;6;604-75-1;DTXSID1021087;DTXCID301087;1;501;6.49;Mid;0.1037;2.09E+05;0.498;1.04E+05;6.11;1.074;0.096;NA;NA;;NA;1.01E+06;0.377;0.002;YES;3.631;1.533;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.254;7.475;7.994;6.957;NO;0.346;0.002;YES;3.34;1.087
Esi-;Oxazepam;6;604-75-1;DTXSID1021087;DTXCID301087;1;501;6.49;High;0.4165;9.64E+05;0.551;5.31E+05;6.11;1.074;0.435;NA;NA;;NA;1.28E+06;1.918;0.012;YES;4.605;1.533;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.308;7.475;7.994;6.957;NO;1.764;0.011;YES;4.236;1.087
Esi-;Imidacloprid;6;138261-41-3;DTXSID5032442;DTXCID3012442;1;505;1.2;Low;0.024;9.45E+04;0.609;5.76E+04;6.01;0.752;0.022;NA;NA;;NA;2.40E+06;0.208;0.001;YES;8.66;1.101;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.446;7.429;7.947;6.911;NO;0.227;0.002;YES;9.474;0.914
Esi-;Imidacloprid;6;138261-41-3;DTXSID5032442;DTXCID3012442;1;505;1.2;Mid;0.122;3.91E+05;0.621;2.43E+05;6.01;0.752;0.149;NA;NA;;NA;1.99E+06;0.878;0.005;YES;7.193;1.101;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.406;7.429;7.947;6.911;NO;0.96;0.007;YES;7.869;0.914
Esi-;Imidacloprid;6;138261-41-3;DTXSID5032442;DTXCID3012442;1;505;1.2;High;0.49;8.65E+05;0.636;5.50E+05;6.01;0.752;0.44;NA;NA;;NA;1.12E+06;1.986;0.012;YES;4.054;1.101;LC-QTOF;ESI;ACN/H2O (4mM ammonium formate);10.1007/s00216-022-04118;7.279;7.429;7.947;6.911;NO;2.173;0.015;YES;4.435;0.914
